"","GEOID","NAME","total_popE","total_popM","incomeE","incomeM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","PIE","PIM","HispE","HispM","summary_est","summary_moe","geometry","Wpercent","Bpercent","Npercent","Apercent","PIpercent","Hpercent"
"19","31109003713","Census Tract 37.13; Lancaster County; Nebraska",2725,239,108824,11592,2438,271,36,36,0,10,164,113,0,10,75,68,2725,239,list(c(-96.639403, -96.625292, -96.616339, -96.612538, -96.606104, -96.606119, -96.606076, -96.60655, -96.61777, -96.640513, -96.639403, 40.755144, 40.755264, 40.755256, 40.755253, 40.755248, 40.741499, 40.736919, 40.735992, 40.742161, 40.754436, 40.755144)),89.4678899082569,1.32110091743119,0,6.01834862385321,0,2.75229357798165
"20","31109001900","Census Tract 19; Lancaster County; Nebraska",1971,273,33825,6667,1658,292,87,62,6,7,70,49,0,10,107,83,1971,273,list(c(-96.708479, -96.708463, -96.707123, -96.704516, -96.702569, -96.701134, -96.698174, -96.696732, -96.696769, -96.702565, -96.702627, -96.707024, -96.708502, -96.708479, 40.813671, 40.81696, 40.816901, 40.816968, 40.816939, 40.81693, 40.816929, 40.815823, 40.809176, 40.809198, 40.809198, 40.809208, 40.809212, 40.813671)),84.1197361745307,4.41400304414003,0.30441400304414,3.55149670218163,0,5.4287163876205
"21","31109003003","Census Tract 30.03; Lancaster County; Nebraska",5199,758,48889,16265,3134,803,588,165,110,96,257,174,0,15,718,422,5199,758,list(c(-96.701212, -96.701146, -96.701106, -96.701104, -96.701075, -96.700866, -96.691527, -96.69105, -96.681983, -96.682073, -96.682222, -96.696521, -96.698992, -96.700877, -96.701313, -96.701212, 40.842892, 40.847429, 40.850173, 40.850585, 40.857282, 40.857395, 40.8572, 40.85719, 40.857005, 40.842595, 40.836087, 40.828572, 40.827268, 40.83067, 40.83413, 40.842892)),60.2808232352375,11.3098672821696,2.11579149836507,4.94325831890748,0,13.8103481438738
"22","31109000100","Census Tract 1; Lancaster County; Nebraska",3365,539,48464,11270,2624,601,59,66,0,10,44,47,0,10,445,248,3365,539,list(c(-96.653622, -96.642124, -96.643224, -96.640069, -96.635719, -96.63282, -96.629451, -96.624707, -96.622311, -96.621185, -96.619472, -96.618091, -96.617262, -96.61241, -96.60689, -96.605762, -96.605591, -96.60565, -96.605667, -96.605706, -96.605716, -96.605793, -96.61889, -96.624873, -96.624872, -96.630416, -96.631716, -96.634426, -96.635802, -96.639914, -96.644122, -96.645275, -96.652347, -96.653623, -96.653622, 40.85112, 40.857116, 40.857564, 40.860447, 40.866582, 40.868333, 40.869167, 40.868826, 
40.868253, 40.868103, 40.868178, 40.86859, 40.869002, 40.872177, 40.875027, 40.87355, 40.871096, 40.864306, 40.862328, 40.85811, 40.857091, 40.851578, 40.8514, 40.851498, 40.85176, 40.851761, 40.853847, 40.851762, 40.851762, 40.851762, 40.851489, 40.851264, 40.851187, 40.851024, 40.85112)),77.9791976225854,1.75334323922734,0,1.3075780089153,0,13.2243684992571
"23","31109003609","Census Tract 36.09; Lancaster County; Nebraska",2554,300,141136,37898,2280,279,15,17,0,10,205,147,0,10,7,10,2554,300,list(c(-96.70168, -96.697616, -96.69417, -96.682566, -96.682524, -96.682528, -96.687218, -96.688005, -96.690582, -96.701544, -96.70168, 40.755672, 40.755632, 40.755598, 40.755482, 40.744981, 40.739568, 40.73956, 40.739455, 40.738585, 40.738504, 40.755672)),89.2717306186374,0.587314017227878,0,8.02662490211433,0,0.274079874706343
"24","31109003725","Census Tract 37.25; Lancaster County; Nebraska",3379,659,147250,28941,3144,687,2,8,0,10,64,79,0,10,57,54,3379,659,list(c(-96.644419, -96.644407, -96.644398, -96.644389, -96.644383, -96.644379, -96.644374, -96.644369, -96.637695, -96.636505, -96.634887, -96.629539, -96.628781, -96.625642, -96.625461, -96.615852, -96.612616, -96.606171, -96.606158, -96.606151, -96.606147, -96.606145, -96.606282, -96.615818, -96.622735, -96.628523, -96.644407, -96.644426, -96.644419, 40.716743, 40.71908, 40.720839, 40.722614, 40.723592, 40.724503, 40.725352, 40.726328, 40.726174, 40.726141, 40.726101, 40.726111, 40.726351, 40.726356, 
40.726493, 40.726506, 40.726332, 40.72632, 40.719084, 40.715429, 40.713545, 40.711789, 40.697279, 40.697295, 40.697305, 40.697315, 40.697333, 40.715441, 40.716743)),93.045279668541,0.0591891092039065,0,1.89405149452501,0,1.68688961231133
"25","31109003202","Census Tract 32.02; Lancaster County; Nebraska",2881,410,63468,3329,2076,316,87,87,0,10,0,10,0,10,540,394,2881,410,list(c(-96.815245, -96.815221, -96.815173, -96.805685, -96.805534, -96.796017, -96.795971, -96.795908, -96.795907, -96.787002, -96.787003, -96.787243, -96.787305, -96.787349, -96.79613, -96.797332, -96.805688, -96.815269, -96.815245, 40.846416, 40.850044, 40.857342, 40.857308, 40.857308, 40.857274, 40.864547, 40.871692, 40.871813, 40.8718, 40.871675, 40.852619, 40.846917, 40.842783, 40.842758, 40.842762, 40.842803, 40.842845, 40.846416)),72.0583130857341,3.01978479694551,0,0,0,18.74349184311
"26","31109003103","Census Tract 31.03; Lancaster County; Nebraska",2752,375,56007,13675,1886,375,27,26,0,10,189,131,0,10,457,254,2752,375,list(c(-96.72097, -96.716086, -96.713168, -96.712241, -96.712081, -96.71214, -96.720401, -96.720356, -96.720335, -96.720225, -96.720338, -96.720167, -96.720332, -96.720311, -96.720264, -96.719805, -96.72097, 40.857832, 40.862207, 40.855151, 40.850757, 40.842967, 40.833683, 40.831928, 40.839414, 40.842825, 40.843207, 40.843387, 40.843523, 40.84406, 40.848449, 40.856626, 40.857149, 40.857832)),68.5319767441861,0.981104651162791,0,6.86773255813953,0,16.6061046511628
"27","31109000700","Census Tract 7; Lancaster County; Nebraska",2521,350,35530,11799,1144,308,178,151,3,10,937,270,0,10,182,93,2521,350,list(c(-96.695313, -96.687025, -96.685833, -96.682335, -96.682376, -96.68239, -96.682391, -96.682396, -96.69385, -96.692282, -96.692585, -96.693245, -96.696075, -96.695313, 40.824486, 40.824408, 40.823512, 40.823517, 40.820704, 40.817094, 40.816861, 40.815759, 40.815809, 40.818694, 40.820764, 40.821627, 40.823627, 40.824486)),45.3788179293931,7.06069020230068,0.119000396667989,37.1677905593019,0,7.21935739785799
"28","31109003500","Census Tract 35; Lancaster County; Nebraska",60,56,NA,NA,57,49,1,6,0,10,0,10,0,10,1,6,60,56,list(c(-96.739818, -96.739816, -96.73872, -96.738015, -96.735756, -96.730335, -96.72756, -96.73026, -96.73032, -96.733954, -96.73584, -96.739868, -96.739818, 40.784496, 40.78458, 40.784628, 40.784766, 40.785532, 40.787463, 40.784571, 40.78456, 40.777551, 40.777587, 40.777607, 40.777649, 40.784496)),95,1.66666666666667,0,0,0,1.66666666666667
